,Drug,Model,Metric,Score
0,Alcohol,Logistic_Regression,Precision,0.9807162534435262
1,Alcohol,Logistic_Regression,Recall,0.775599128540305
2,Alcohol,Logistic_Regression,Accuracy,0.7669491525423728
3,Alcohol,Logistic_Regression,F1_Score,0.8661800486618005
4,Alcohol,Logistic_Regression,AUC,0.7052119993296464
5,Alcohol,NB_Gaussian,Precision,1.0
6,Alcohol,NB_Gaussian,Recall,0.06535947712418301
7,Alcohol,NB_Gaussian,Accuracy,0.09110169491525423
8,Alcohol,NB_Gaussian,F1_Score,0.1226993865030675
9,Alcohol,NB_Gaussian,AUC,0.6680073738897269
10,Alcohol,KNN,Precision,0.9739952718676123
11,Alcohol,KNN,Recall,0.8976034858387799
12,Alcohol,KNN,Accuracy,0.8771186440677966
13,Alcohol,KNN,F1_Score,0.9342403628117913
14,Alcohol,KNN,AUC,0.5257248198424669
15,Alcohol,Decision_Tree,Precision,0.9755011135857461
16,Alcohol,Decision_Tree,Recall,0.954248366013072
17,Alcohol,Decision_Tree,Accuracy,0.9322033898305084
18,Alcohol,Decision_Tree,F1_Score,0.9647577092511013
19,Alcohol,Decision_Tree,AUC,0.5540472599296129
20,Alcohol,Random_Forest,Precision,0.972457627118644
21,Alcohol,Random_Forest,Recall,1.0
22,Alcohol,Random_Forest,Accuracy,0.972457627118644
23,Alcohol,Random_Forest,F1_Score,0.9860365198711063
24,Alcohol,Random_Forest,AUC,0.6713591419473771
25,Alcohol,SVC,Precision,0.979381443298969
26,Alcohol,SVC,Recall,0.8278867102396514
27,Alcohol,SVC,Accuracy,0.815677966101695
28,Alcohol,SVC,F1_Score,0.8972845336481701
29,Alcohol,SVC,AUC,0.6475615887380594
30,Alcohol,Linear_SVC,Precision,0.9834710743801653
31,Alcohol,Linear_SVC,Recall,0.7777777777777778
32,Alcohol,Linear_SVC,Accuracy,0.7711864406779662
33,Alcohol,Linear_SVC,F1_Score,0.8686131386861314
34,Alcohol,SGD,Precision,0.9848024316109423
35,Alcohol,SGD,Recall,0.7058823529411765
36,Alcohol,SGD,Accuracy,0.7033898305084746
37,Alcohol,SGD,F1_Score,0.8223350253807107
38,Alcohol,SGD,AUC,0.7037037037037036
39,Amphet,Logistic_Regression,Precision,0.6565656565656566
40,Amphet,Logistic_Regression,Recall,0.7182320441988951
41,Amphet,Logistic_Regression,Accuracy,0.7478813559322034
42,Amphet,Logistic_Regression,F1_Score,0.6860158311345647
43,Amphet,Logistic_Regression,AUC,0.8019973040192897
44,Amphet,NB_Gaussian,Precision,0.4116222760290557
45,Amphet,NB_Gaussian,Recall,0.9392265193370166
46,Amphet,NB_Gaussian,Accuracy,0.461864406779661
47,Amphet,NB_Gaussian,F1_Score,0.5723905723905724
48,Amphet,NB_Gaussian,AUC,0.7536120445786106
49,Amphet,KNN,Precision,0.5628415300546448
50,Amphet,KNN,Recall,0.569060773480663
51,Amphet,KNN,Accuracy,0.6652542372881356
52,Amphet,KNN,F1_Score,0.5659340659340659
53,Amphet,KNN,AUC,0.647073342066792
54,Amphet,Decision_Tree,Precision,0.5493827160493827
55,Amphet,Decision_Tree,Recall,0.49171270718232046
56,Amphet,Decision_Tree,Accuracy,0.6504237288135594
57,Amphet,Decision_Tree,F1_Score,0.5189504373177843
58,Amphet,Decision_Tree,AUC,0.6204268003265554
59,Amphet,Random_Forest,Precision,0.6705882352941176
60,Amphet,Random_Forest,Recall,0.6298342541436464
61,Amphet,Random_Forest,Accuracy,0.739406779661017
62,Amphet,Random_Forest,F1_Score,0.6495726495726496
63,Amphet,Random_Forest,AUC,0.7911089593894173
64,Amphet,SVC,Precision,0.6071428571428571
65,Amphet,SVC,Recall,0.7513812154696132
66,Amphet,SVC,Accuracy,0.7182203389830508
67,Amphet,SVC,F1_Score,0.671604938271605
